session_id,event_id,person_latency_s,person_outcome,facial_latency_s,facial_outcome,drowsiness_latency_s,drowsiness_outcome,object_latency_s,object_outcome
17,8,0.00,FN,1.76,TP,2.31,TP,0.89,TP
17,9,1.01,TP,0.66,TP,0.50,TP,0.40,TP
18,1,0.45,TP,0.56,TP,0.91,TP,1.33,FP
18,2,0.68,TP,1.71,TP,1.97,TP,0.88,TP
18,3,1.08,TP,1.76,TP,1.24,TP,2.94,TP
18,4,0.87,TP,0.53,TP,2.49,TP,0.39,TP
18,5,1.33,TP,0.54,TP,0.04,TP,0.54,TP
19,1,1.33,TP,1.41,TP,3.13,TP,0.63,TP
19,2,0.76,TP,1.04,TP,0.36,TP,2.10,TP
19,3,1.65,TP,0.53,TP,2.73,TP,3.51,TP
19,4,1.16,TP,0.64,TP,0.63,TP,3.57,TP
